No,Prompt,Avg. rank,Visibility,Responses,Brands
1,"vestibular therapy Vancouver",3.75,66.67,6,"Treloar Physiotherapy Clinic, Burrard Physiotherapy, Allied Physiotherapy Health Group, Tall Tree Health, Stabilitylab, Balance & Dizziness Canada, West 4th Physiotherapy Clinic, Canadian Balance and Dizziness Disorders Society, Bertec Balance Centre, Envision Physiotherapy"
2,"vertigo treatment Vancouver clinic",3,83.33,6,"Treloar Physiotherapy Clinic, Allied Physiotherapy Health Group, Stabilitylab, Revitalize Physiotherapy and Sports Clinic, Avita Health, MSK Health and Performance, Burrard Physiotherapy, West 4th Physiotherapy Clinic, Backs in Action, Back in Motion Health, Bertec, Physio East Vancouver, MSK Health and Performance Clinic, Audio-Vestibular Clinic, Physio For Life Vancouver, Physio For Life"
3,"concussion therapy Vancouver BC",5,50,6,"Advance Concussion Clinic, Tall Tree Health, UBC Physical Therapy and Research Clinic, Treloar Physiotherapy Clinic, Stabilitylab, City Sports + Physio Clinic, CBI Health Vancouver, Avita Health, UBC Physical Therapy & Research Clinic, Treloar Physiotherapy Clinic - Concussion Clinic Vancouver, Back in Motion Health, CBI Health, West 4th Physiotherapy Clinic, Coast Therapy"
4,"dizziness and balance clinic Vancouver",1.25,66.67,6,"Stabilitylab, Allied Physiotherapy Health Group, Audio-Vestibular Clinic, Physiomed Vancouver, Legacies Health Centre, The Dizziness & Balance Clinic, Canadian Balance and Dizziness Disorders Society, Canadian Balance and Dizziness Disorders Society (Balance & Dizziness Canada), Balance and Dizziness Disorders Support Services (Pathways), NRG, Lifemark, Treloar Physiotherapy Clinic, MSK Health and Performance Clinic, Avita Health, Lifemark Clinics, St. Paul’s Rotary Hearing Clinic, Vancouver Hospital Neuro-otology Unit"
5,"vestibular physiotherapy Vancouver","-",0,6,"Treloar Physiotherapy Clinic, Burrard Physiotherapy, Avita Health, Tall Tree Health, MYAH Physiotherapy & Wellness, Allied Physiotherapy Health Group, Balance & Dizziness Canada, West 4th Physiotherapy Clinic, Envision Physiotherapy, Absolute PhysioCare & Sports Rehabilitation, iScope Concussion and Pain Clinics, Triumph Physio and Wellness"
6,"concussion rehabilitation Vancouver clinic",4.67,50,6,"Advance Concussion Clinic, Treloar Physiotherapy Clinic, UBC Physical Therapy and Research Clinic, Tall Tree Health, Revitalize Physiotherapy and Sports Clinic, Stabilitylab, StabilityLAB - Advanced Balance, Concussion & Vertigo Therapy, City Sports + Physio Clinic, Back in Motion Physiotherapy and Active Rehab, CBI Health Vancouver, Coast Therapy"
7,"balance disorder treatment Vancouver",3.17,100,6,"Stabilitylab, Physiomed Vancouver, Treloar Physiotherapy Clinic, MSK Health and Performance Clinic, Physio For Life, Lifemark, Canadian Balance and Dizziness Disorders Society, Burrard Physiotherapy, MSK Health and Performance, Legacies Health Centre, Balance & Dizziness Canada, Balance and Dizziness Disorders Support Services, Lifemark Clinics, Bertec, Canadian Balance and Dizziness Disorders Society (Balance & Dizziness Canada)"
8,"fall prevention program Vancouver seniors","-",0,6,"Falls Prevention Clinic at Vancouver General Hospital, MSK Health and Performance, HealthLinkBC, Vancouver Coastal Health, Provincial Resources from British Columbia, Falls Prevention Mobile Clinic (Fraser Health), Fraser Health Falls Prevention Mobile Clinic, Finding Balance B.C., MSK Health and Performance Clinic, Fraser Health"
9,"Bertec balance testing Vancouver",2,100,6,"Bertec, Stabilitylab, Lifemark Physiotherapy Vancouver Broadway, Audio-Vestibular Clinic"
10,"clinic for chronic dizziness Vancouver",1,80,5,"Stabilitylab, Allied Physiotherapy Health Group, MSK Health and Performance Clinic, Revitalize Physiotherapy and Sports Clinic, Treloar Physiotherapy Clinic, Back in Motion Health, Physio For Life, Bertec, Vertigo & Vestibular Rehabilitation Clinic, Legacies Health Centre, Burnaby Heights Physiotherapy, Back in Motion Health Clinics, physioworks, Canadian Balance and Dizziness Disorders Society, Balance and Dizziness Disorders Support Services (Pathways)"
